#    freq [GHz]         filter
  0.0000000e+00 1.000000000000
  1.0000000e-01 1.000000000000
  2.0000000e-01 1.000000000000
  3.0000000e-01 1.000000000000
  4.0000000e-01 1.000000000000
  5.0000000e-01 1.000000000000
  6.0000000e-01 1.000000000000
  7.0000000e-01 1.000000000000
  8.0000000e-01 1.000000000000
  9.0000000e-01 1.000000000000
  1.0000000e+00 1.000000000000
  1.1000000e+00 1.000000000000
  1.2000000e+00 1.000000000000
  1.3000000e+00 1.000000000000
  1.4000000e+00 1.000000000000
  1.5000000e+00 1.000000000000
  1.6000000e+00 1.000000000000
  1.7000000e+00 1.000000000000
  1.8000000e+00 1.000000000000
  1.9000000e+00 1.000000000000
  2.0000000e+00 1.000000000000
  2.1000000e+00 0.000000000000
  2.2000000e+00 0.000000000000
  2.3000000e+00 0.000000000000
  2.4000000e+00 0.000000000000
  2.5000000e+00 0.000000000000
  2.6000000e+00 0.000000000000
  2.7000000e+00 0.000000000000
  2.8000000e+00 0.000000000000
  2.9000000e+00 0.000000000000
  3.0000000e+00 0.000000000000
  3.1000000e+00 0.000000000000
  3.2000000e+00 0.000000000000
  3.3000000e+00 0.000000000000
  3.4000000e+00 0.000000000000
  3.5000000e+00 0.000000000000
  3.6000000e+00 0.000000000000
  3.7000000e+00 0.000000000000
  3.8000000e+00 0.000000000000
  3.9000000e+00 0.000000000000
  4.0000000e+00 0.000000000000
  4.1000000e+00 0.000000000000
  4.2000000e+00 0.000000000000
  4.3000000e+00 0.000000000000
  4.4000000e+00 0.000000000000
  4.5000000e+00 0.000000000000
  4.6000000e+00 0.000000000000
  4.7000000e+00 0.000000000000
  4.8000000e+00 0.000000000000
  4.9000000e+00 0.000000000000
 -4.9000000e+00 0.000000000000
 -4.8000000e+00 0.000000000000
 -4.7000000e+00 0.000000000000
 -4.6000000e+00 0.000000000000
 -4.5000000e+00 0.000000000000
 -4.4000000e+00 0.000000000000
 -4.3000000e+00 0.000000000000
 -4.2000000e+00 0.000000000000
 -4.1000000e+00 0.000000000000
 -4.0000000e+00 0.000000000000
 -3.9000000e+00 0.000000000000
 -3.8000000e+00 0.000000000000
 -3.7000000e+00 0.000000000000
 -3.6000000e+00 0.000000000000
 -3.5000000e+00 0.000000000000
 -3.4000000e+00 0.000000000000
 -3.3000000e+00 0.000000000000
 -3.2000000e+00 0.000000000000
 -3.1000000e+00 0.000000000000
 -3.0000000e+00 0.000000000000
 -2.9000000e+00 0.000000000000
 -2.8000000e+00 0.000000000000
 -2.7000000e+00 0.000000000000
 -2.6000000e+00 0.000000000000
 -2.5000000e+00 0.000000000000
 -2.4000000e+00 0.000000000000
 -2.3000000e+00 0.000000000000
 -2.2000000e+00 0.000000000000
 -2.1000000e+00 0.000000000000
 -2.0000000e+00 1.000000000000
 -1.9000000e+00 1.000000000000
 -1.8000000e+00 1.000000000000
 -1.7000000e+00 1.000000000000
 -1.6000000e+00 1.000000000000
 -1.5000000e+00 1.000000000000
 -1.4000000e+00 1.000000000000
 -1.3000000e+00 1.000000000000
 -1.2000000e+00 1.000000000000
 -1.1000000e+00 1.000000000000
 -1.0000000e+00 1.000000000000
 -9.0000000e-01 1.000000000000
 -8.0000000e-01 1.000000000000
 -7.0000000e-01 1.000000000000
 -6.0000000e-01 1.000000000000
 -5.0000000e-01 1.000000000000
 -4.0000000e-01 1.000000000000
 -3.0000000e-01 1.000000000000
 -2.0000000e-01 1.000000000000
 -1.0000000e-01 1.000000000000
